"HMDBID","KEGGID","Name","Diff","Origin","Link"
"HMDB0002409","-","N-[(3a,5b,7b)-7-hydroxy-24-oxo-3-(sulfooxy)cholan-24-yl-Glycine",1,"Microbiota","HMDB: HMDB0002409"
"HMDB0036832","-","SterebinD",1,"Food related","HMDB: HMDB0036832"
"HMDB0041044","-","5,7-Megastigmadien-9-olglucoside",1,"Food related","HMDB: HMDB0041044"
NA,"-","(2-methoxy-4-{2-[(1R,16Z,24E,26E,28Z)-1,13,18-trihydroxy-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-2,3,10,14,20-pentaoxo-11,36-dioxa-4-azatricyclo[30.3.1.0,hexatriaconta-16,24,26,28-tetraen-12-ylpropyl}cyclohexyl)oxidanesulfonicacid",1,"Unknown",""
"HMDB0060672","C16660","2-Ethyl-5-methyl-3,3-diphenyl-1-pyrroline",1,"Drug related","HMDB: HMDB0060672"
NA,"-","7-Sulfocholicacid",1,"Unknown",""
"HMDB0061154","-","Monicacid",1,"Drug related","HMDB: HMDB0061154"
"HMDB0011489","-","LysoPE(0:0/20:5(5Z,8Z,11Z,14Z,17Z))",1,"Food related","HMDB: HMDB0011489"
"HMDB0035498","-","FevicordinB2-[rhamnosyl-(1-4)-glucosyl-(1-6)-glucoside",1,"Food related","HMDB: HMDB0035498"
"HMDB0033111","-","EpijasminosideA",1,"Food related","HMDB: HMDB0033111"
"HMDB0038746","-","GibberellinA74",1,"Food related","HMDB: HMDB0038746"
"HMDB0038979","-","(3b,4b,5b)-4,5-Epoxy-p-menth-1-en-3-ol3-glucoside",1,"Food related","HMDB: HMDB0038979"
"HMDB0030046","C08886","AsparagosideA",1,"Food related","HMDB: HMDB0030046"
"HMDB0011486","-","LysoPE(0:0/20:3(8Z,11Z,14Z))",1,"Food related","HMDB: HMDB0011486"
"HMDB0002815","-","LysoPC(18:1(9Z))",1,"Food related","HMDB: HMDB0002815"
"HMDB0036159","-","ToxinT2tetrol",1,"Food related","HMDB: HMDB0036159"
"HMDB0039947","-","Pisumionoside",1,"Food related","HMDB: HMDB0039947"
"HMDB0000086","C00670","Glycerophosphocholine",1,"Co-Metabolism","KEGG: C00670; BIGG: NA, g3pc"
"HMDB0031954","-","3-Methyl-3-butenylapiosyl-(1-6)-glucoside",1,"Food related","HMDB: HMDB0031954"
"HMDB0010382","C04230","LysoPC(16:0)",1,"Co-Metabolism","KEGG: C04230"
NA,"-","Chenodeoxycholicacid3-sulfate",1,"Unknown",""
"HMDB0010386","-","LysoPC(18:2(9Z,12Z))",1,"Food related","HMDB: HMDB0010386"
"HMDB0036726","-","Ent-15-Kaurene-17,19-dioicacid",1,"Food related","HMDB: HMDB0036726"
"HMDB0033199","-","(4beta,5beta,6beta,14beta,15alpha,20S,22R)-5,6-Epoxy-4,14,15-trihydroxy-1-oxowitha-2,24-dienolide",1,"Food related","HMDB: HMDB0033199"
"HMDB0011195","-","2-Hydroxy-3-methoxyestrone",1,"Food related","HMDB: HMDB0011195"
NA,"C03033","Aldosterone18-glucuronide",1,"Co-Metabolism","KEGG: C03033"
NA,"-","12-oxo-20-dihydroxy-leukotrieneB4",1,"Unknown",""
NA,"-","(1R,16Z,24E,26E,28Z)-1,13,18-trihydroxy-12-[1-(4-hydroxy-3-methoxycyclohexyl)propan-2-yl-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo[30.3.1.0,hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentone",1,"Unknown",""
NA,"-","13,14-dehydro-15-cyclohexylCarbaprostacyclin",1,"Unknown",""
NA,"-","(1R,12S,16Z,24E,26E,28Z,32S)-1,18-dihydroxy-12-[1-(4-hydroxy-3-methoxycyclohexyl)propan-2-yl-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo[30.3.1.0,hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentone",1,"Unknown",""
NA,"C03033","Dehydroisoandrosterone3-glucuronide",1,"Co-Metabolism","KEGG: C03033"
"HMDB0041085","-","Sambutoxin",1,"Food related","HMDB: HMDB0041085"
NA,"-","PG(16:0/0:0)[U",1,"Unknown",""
NA,"-","PC(18:1/0:0)",1,"Unknown",""
"HMDB0035167","-","CinncassiolC119-glucoside",1,"Food related","HMDB: HMDB0035167"
