	metab_id	Apc_F_1	Apc_F_2	Apc_F_3	Apc_F_4	Apc_F_5	Apc_F_6	Apc_F_7	Apc_F_8	Apc_F_9	Apc_M_1	Apc_M_2	Apc_M_3	Apc_M_4	Apc_M_5	Apc_M_6	Apc_M_7	Apc_M_8	WT_F_1	WT_F_10	WT_F_11	WT_F_2	WT_F_3	WT_F_4	WT_F_5	WT_F_6	WT_F_7	WT_F_8	WT_F_9	WT_M_1	WT_M_10	WT_M_2	WT_M_3	WT_M_4	WT_M_5	WT_M_6	WT_M_7	WT_M_8	WT_M_9	FC	FDR	.	log2FC	Metabolite	ID	KEGG.Compound.ID	Library.ID	group
26	metab_18156	3.84350623789721	4.11208632990254	4.21723326411275	3.51893289622961	3.83408018506715	4.29176882187963	4.44117248633198	4.37321942160888	4.73786649330148	4.53697744670446	4.94419014040166	4.60720675632767	4.51635064312939	4.67214679434987	4.78819973321499	4.28876696838393	3.60001505305564	3.6529845066253	3.37923513144392	0.0391780157180783	0.0391780157180783	0.15958708634353	0.0391780157180783	0.0391780157180783	0.0391780157180783	0.0391780157180783	0.0391780157180783	3.67095162562479	4.52624687729757	0.0902214725813725	4.50653323541023	5.15427023086405	4.2405473903843	4.38184445417012	3.34519923885387	4.32915955787186	0.0902214725813725	3.38447510864309	1.8983834552785	0.0455377861541736	1.41561949799102	0.924771432376654	Vomifoliol 9-[glucosyl-(1->4)-xylosyl-(1->6)-glucoside]	neg_7181	-	HMDB0038449	Apc
44	metab_7980	4.27456995830792	3.24707880001858	4.58111653873551	3.24707880001858	3.55518973198201	3.9397454403361	3.24707880001858	5.2903812550123	3.24707880001858	5.8301534911681	5.54461632072527	5.82863944198784	5.47598071592614	5.51564430691378	5.53450555042896	5.81525804110147	4.79900126560871	3.32457524135612	3.59964690869852	3.32457524135612	4.75450433185194	4.37511043462938	3.97410625582344	4.33086042930987	3.3953882875501	3.32457524135612	3.32457524135612	3.70519054394484	2.44640631914306	2.44640631914306	3.71756911936619	4.1669323959986	3.41403443672018	3.82682492786463	2.44640631914306	3.43115563524092	2.44640631914306	2.44640631914306	1.29572404178536	0.0356239751969241	1.40813477173429	0.373758491416875	2-Ethyl-5-methyl-3,3-diphenyl-1-pyrroline	pos_8813	C16660	HMDB0060672	Apc
16	metab_16192	5.94577237227291	5.7550478114266	5.20208734510867	5.1847744885495	4.30422230766053	3.13642116786292	3.55412538978687	5.37903953989147	4.4278917491576	5.7571838857122	4.45682080415047	4.45682080415047	5.09322865364386	5.42373345122151	5.03177915427396	6.09397059932816	5.25563051361733	3.25087194421929	4.21517699523464	3.58986304024903	3.25087194421929	3.5878935270488	3.92185889086787	3.25087194421929	5.03056858560249	4.26666424172191	5.20771276081436	3.61012697918357	3.1106951578823	3.66148290117695	5.61555254720228	3.52690383144416	3.1106951578823	3.20966484584642	3.1106951578823	3.86185394938149	3.1106951578823	4.83602326362319	1.24079077529363	0.0413260473647429	1.2138169074227	0.311259865755173	3-p-Coumaroyl-1,5-quinolactone	neg_4926	-	HMDB0029292	Apc
42	metab_7545	4.63878745343781	4.63255646560926	5.0698005031753	4.10105375983424	4.0963222454731	3.89742716780798	4.59110756359612	4.92153051985785	3.89742716780798	5.32428036695575	5.42811921417051	5.90613920289532	5.53851127687858	5.28688617143948	5.75084396096509	5.62092745007193	5.07179043767733	3.89657428971682	4.58508935543422	4.35158098003332	4.51049622441937	4.59675170987906	4.0552623710128	3.74663963630392	4.02063834594238	4.57941543826589	4.74534039918069	4.65418674992393	4.22475779150545	4.08466052668764	4.06578886330165	3.96492747986949	3.98966963328064	4.17450690598878	4.24746466335663	4.07577569317471	3.96492747986949	3.97790607029907	1.14887811345383	0.0219373456686706	1.36470671448458	0.200225747989905	LysoPE(0:0/20:3(8Z,11Z,14Z))	pos_8323	-	HMDB0011486	Apc
25	metab_18068	5.15241862254116	5.13109515420415	5.216691781397	5.42359097500528	5.12348155379376	4.84531623294044	4.8045595396662	5.3535529502904	4.97548010984227	5.68654811909898	5.61144327831585	5.7772222861355	5.4612788253476	5.24566042700499	5.55790293971068	5.34650822409115	5.38289899028606	4.92177939682881	5.26509104951834	5.07081541469183	4.67305479162841	5.20761065209802	4.95682480863488	4.51443708924663	4.93081680559414	4.85627157876933	5.10300311923787	4.92410798841128	4.25298461868189	4.34668111261149	3.51331895649103	3.77106778221603	3.56431172591946	4.73947116433634	4.67107110595043	4.90371773064889	4.92145658910597	5.03251843644414	1.14400197478477	0.00579841678184015	1.36431136393801	0.194089542509432	LysoPA(0:0/18:0)	neg_7090	-	HMDB0007850	Apc
43	metab_7553	4.77764210466277	4.55968762701511	4.73929571330417	5.21864533756437	4.48931719308896	4.3213093115772	4.5364437266956	4.5011263309773	5.27074509915989	4.62085361804185	4.45015910308022	4.7813599854461	4.6280833866208	4.15229484834687	4.69881664195297	4.35938210952441	4.48642398416073	4.75191684135081	4.78451581784831	4.61033284343596	4.46308082306412	4.63836356958359	4.56318567067681	4.28490727795474	4.42717860889236	4.15507096126281	4.70961845709672	4.50880284453665	2.91284318975345	4.24594911147164	3.55928493865319	3.90514511845959	3.69229058924354	2.91284318975345	3.88008337710698	4.31026288964069	4.17764863608598	4.19085308984233	1.13499392760894	0.0219373456686706	1.40454107724281	0.182684578897772	11beta,17beta-Dihydroxy-9alpha-fluoro-17alpha-methyl-5alpha-androstan-3-one	pos_8332	C15338	-	Apc
11	metab_15447	4.4631341824754	5.03284116434949	4.79761656794853	5.39795585330101	4.96666539857271	5.13688711178059	4.99886630403965	5.03397531520405	5.24450121675702	4.74559046195967	4.42603662070973	5.02445539238608	4.40877621164144	4.52381321491788	4.63494117158124	4.93121070524293	4.25863601230791	4.58643806228609	4.91423045092983	5.23679752208515	4.54762657873427	5.17970275426296	5.09672936958117	4.35592637564631	4.67277902624247	4.61343842248108	4.66894348037802	4.85124108202736	3.61098704659739	3.77245390687191	3.96584364113298	3.53591761431223	3.53591761431223	3.94279278875452	4.16424690008581	4.37707673692915	4.32406762370829	4.45965405436819	1.12116698069397	0.02284367779924	1.35486760509622	0.165001161532158	4-Oxo-9-cis-retinoyl-beta-glucuronide	neg_3984	-	HMDB0060122	Apc
22	metab_17944	6.68278278567404	6.73948441660061	6.50031319376935	6.72910845310454	6.22511652792846	6.32470904846053	6.55460439223152	6.39232377511589	6.78559675739904	6.66311814031931	6.5983710421442	6.64335799472251	6.4767471470379	6.36710125285408	6.63783082907591	6.81521057931563	6.50507072159859	6.21757563396116	6.67136919173877	6.26300856819132	6.18295912712096	6.28415419984619	5.78572628622175	5.69589028135116	6.22027888223444	6.40984338522805	5.91021028835883	6.43692829986492	6.54244921683207	5.37788409862579	6.71534180865605	6.71617523664074	6.81927821713744	6.36332652381999	5.10247066181805	5.10539392682156	4.85480657811864	5.26541929706757	1.09207828985895	0.0401216982358466	1.0759838583209	0.127076285142921	Deoxycholic acid 3-glucuronide	neg_6955	C03033	HMDB0002596;LMST05010046	Apc
7	metab_12261	5.6375580443451	5.74370707079654	5.79273541975119	5.7753845024156	4.89892180569027	5.56078867532412	5.19941494152943	5.23243834695383	5.25310404471014	5.26943844272586	5.65172164138656	5.22339611646736	4.75958680232738	5.4450343895525	4.99590527976383	4.97000004774355	5.26444202547706	4.99016451312308	5.06944442737718	4.62642394855543	4.71408978417269	4.91850033477445	4.75992712407968	4.58561957626338	4.78583714062337	4.59205107365496	5.04325860966484	4.84946466385134	5.45186198493155	4.68350779743835	5.34283734928648	5.16471679422699	5.10792371150992	5.02329490089201	4.67160691224522	4.79715833027572	4.74575699161899	5.06367976015569	1.07386722392657	0.0219373456686706	1.45485329063073	0.102815625330378	VPGPR Enterostatin	neg_653	-	HMDB0003577	Apc
41	metab_7533	5.99117048887003	6.1500126548811	6.20126261662706	6.25205270713276	5.51631815713343	5.30385391897236	5.58089280246963	6.05465452386255	5.82830107869724	5.4225754965683	5.33313266498587	5.55975987959395	5.47822124100879	5.45657606286317	5.36202180559888	5.49591133191717	5.38443162037533	5.58459595107897	6.00859816021592	5.59688431365896	5.2709092564399	5.62773421677407	5.72085501572785	5.36734239599989	5.61056132041722	5.590117006725	5.57565465205393	5.54149175529847	5.1428692644432	5.12338041766215	4.89582451792998	4.92201152995933	5.23202382421665	5.26240054832761	5.1410395560039	5.13711603756466	5.19902435890179	5.28694352800926	1.06856237009395	0.0199224560161367	1.64678795131896	0.0956711180109887	1alpha,18-dihydroxyvitamin D3	pos_8308	-	LMST03020254	Apc
