"HMDBID","KEGGID","Name","Diff","Origin","Link"
"HMDB0002409","-","N-[(3a,5b,7b)-7-hydroxy-24-oxo-3-(sulfooxy)cholan-24-yl-Glycine",1,"Microbiota","HMDB: HMDB0002409"
NA,"-","(2-methoxy-4-{2-[(1R,16Z,24E,26E,28Z)-1,13,18-trihydroxy-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-2,3,10,14,20-pentaoxo-11,36-dioxa-4-azatricyclo[30.3.1.0,hexatriaconta-16,24,26,28-tetraen-12-ylpropyl}cyclohexyl)oxidanesulfonicacid",1,"Unknown",NA
"HMDB0060672","C16660","2-Ethyl-5-methyl-3,3-diphenyl-1-pyrroline",1,"Drug related","HMDB: HMDB0060672"
NA,"-","7-Sulfocholicacid",1,"Unknown",NA
"HMDB0011489","-","LysoPE(0:0/20:5(5Z,8Z,11Z,14Z,17Z))",1,"Food related","HMDB: HMDB0011489"
"HMDB0035498","-","FevicordinB2-[rhamnosyl-(1-4)-glucosyl-(1-6)-glucoside",1,"Food related","HMDB: HMDB0035498"
"HMDB0030046","C08886","AsparagosideA",1,"Food related","HMDB: HMDB0030046"
"HMDB0011486","-","LysoPE(0:0/20:3(8Z,11Z,14Z))",1,"Food related","HMDB: HMDB0011486"
"HMDB0002815","-","LysoPC(18:1(9Z))",1,"Food related","HMDB: HMDB0002815"
"HMDB0000086","C00670","Glycerophosphocholine",1,"Co-Metabolism","BIGG: NA, g3pc; KEGG: C00670"
"HMDB0010382","C04230","LysoPC(16:0)",1,"Co-Metabolism","KEGG: C04230"
NA,"-","Chenodeoxycholicacid3-sulfate",1,"Unknown",NA
"HMDB0010386","-","LysoPC(18:2(9Z,12Z))",1,"Food related","HMDB: HMDB0010386"
"HMDB0033199","-","(4beta,5beta,6beta,14beta,15alpha,20S,22R)-5,6-Epoxy-4,14,15-trihydroxy-1-oxowitha-2,24-dienolide",1,"Food related","HMDB: HMDB0033199"
"HMDB0011195","-","2-Hydroxy-3-methoxyestrone",1,"Food related","HMDB: HMDB0011195"
NA,"C03033","Aldosterone18-glucuronide",1,"Co-Metabolism","KEGG: C03033"
NA,"-","12-oxo-20-dihydroxy-leukotrieneB4",1,"Unknown",NA
NA,"-","(1R,16Z,24E,26E,28Z)-1,13,18-trihydroxy-12-[1-(4-hydroxy-3-methoxycyclohexyl)propan-2-yl-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo[30.3.1.0,hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentone",1,"Unknown",NA
NA,"-","(1R,12S,16Z,24E,26E,28Z,32S)-1,18-dihydroxy-12-[1-(4-hydroxy-3-methoxycyclohexyl)propan-2-yl-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo[30.3.1.0,hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentone",1,"Unknown",NA
NA,"C03033","Dehydroisoandrosterone3-glucuronide",1,"Co-Metabolism","KEGG: C03033"
"HMDB0041085","-","Sambutoxin",1,"Food related","HMDB: HMDB0041085"
NA,"-","PG(16:0/0:0)[U",1,"Unknown",NA
"HMDB0035167","-","CinncassiolC119-glucoside",1,"Food related","HMDB: HMDB0035167"
"HMDB0000328","-","12-Ketodeoxycholicacid",1,"Food related","HMDB: HMDB0000328"
NA,"-","[(16R)-5,7-dihydroxy-8,8,10,16-tetramethyl-3-[1-(2-methyl-1,3-thiazol-4-yl)prop-1-en-2-yl-12-methylidene-9-oxo-17-oxa-4-azabicyclo[14.1.0heptadec-4-en-11-yloxidanesulfonicacid",1,"Unknown",NA
"HMDB0061127","-","4R-Hydroxysolifenacin",1,"Drug related","HMDB: HMDB0061127"
"HMDB0035200","-","YucalexinB5",1,"Food related","HMDB: HMDB0035200"
"HMDB0010382","C04230","PC(16:0/0:0)",1,"Co-Metabolism","KEGG: C04230"
"HMDB0000788","C01103","Orotidine",1,"Co-Metabolism","KEGG: C01103"
NA,"-","2,4,6-Trihydroxydihydrochalcone2-glucoside",1,"Unknown",NA
NA,"-","(7R*,8R*)-3-Methoxy-3,4,7,9,9-pentahydroxy-8,4-oxyneolignan4-xyloside",1,"Unknown",NA
"HMDB0006285","C16678","4-oxo-Retinoicacid",1,"Drug related","HMDB: HMDB0006285"
"HMDB0000953","-","Suberylglycine",1,"Unknown",NA
"HMDB0002639","C11301","Sulfolithocholylglycine",1,"Microbiota","HMDB: HMDB0002639"
"HMDB0030155","-","AustalideI",1,"Food related","HMDB: HMDB0030155"
"HMDB0010383","C04230","LysoPC(16:1(9Z))",1,"Co-Metabolism","KEGG: C04230"
NA,"-","PC(18:1(9Z)/0:0)[U",1,"Unknown",NA
NA,"-","Sorbitanstearate",1,"Unknown",NA
NA,"-","6-hydroxy-6-(hydroxymethyl)-1,1,4a-trimethyl-5-{[(2-oxo-2H-chromen-7-yl)oxymethyl}-decahydronaphthalen-2-ylacetate",1,"Unknown",NA
"HMDB0010386","C04100","1-Linoleoylglycerophosphocholine",1,"Food related","HMDB: HMDB0010386"
"HMDB0032105","-","1,2-Anhydridoniveusin",1,"Food related","HMDB: HMDB0032105"
"HMDB0010393","-","LysoPC(20:3(5Z,8Z,11Z))",1,"Food related","HMDB: HMDB0010393"
"HMDB0031511","-","Diacetonealcohol",1,"Food related","HMDB: HMDB0031511"
NA,"-","PE(18:1(9Z)/0:0)",1,"Unknown",NA
"HMDB0000222","C02990","Palmitoyl-L-carnitine",1,"Co-Metabolism","KEGG: C02990"
