"No.","ID","Name","Match status","Pvalue","Metabolite ID","Metabolites","Sig. Metabolite ID","Sig. Metabolites"
1,"ko00564","Glycerophospholipid metabolism","2 in 49","1.30e-02","C00670; C04230","Glycerophosphocholine; LysoPC(16:0)","C00670; C04230","Glycerophosphocholine; LysoPC(16:0)"
2,"ko00330","Arginine and proline metabolism","2 in 66","2.29e-02","C01035; C00062","4-Guanidinobutanoicacid; L-Arginine","C01035; C00062","4-Guanidinobutanoicacid; L-Arginine"
3,"ko00472","D-Arginine and D-ornithine metabolism","1 in 9","3.22e-02","C00062","L-Arginine","C00062","L-Arginine"
4,"ko00331","Clavulanic acid biosynthesis","1 in 10","3.57e-02","C00062","L-Arginine","C00062","L-Arginine"
5,"ko00592","alpha-Linolenic acid metabolism","1 in 16","0.057","C06427","Alpha-Linolenicacid","C06427","Alpha-Linolenicacid"
6,"ko00565","Ether lipid metabolism","1 in 21","0.074","C00670","Glycerophosphocholine","C00670","Glycerophosphocholine"
7,"ko00643","Styrene degradation","1 in 22","0.077","C00601","Phenylacetaldehyde","C00601","Phenylacetaldehyde"
8,"ko00220","Arginine biosynthesis","1 in 23","0.08","C00062","L-Arginine","C00062","L-Arginine"
9,"ko00261","Monobactam biosynthesis","1 in 23","0.08","C00062","L-Arginine","C00062","L-Arginine"
10,"ko00410","beta-Alanine metabolism","1 in 25","0.087","C00864","PantothenicAcid","C00864","PantothenicAcid"
11,"ko00770","Pantothenate and CoA biosynthesis","1 in 27","0.094","C00864","PantothenicAcid","C00864","PantothenicAcid"
12,"ko01040","Biosynthesis of unsaturated fatty acids","1 in 36","0.123","C06427","Alpha-Linolenicacid","C06427","Alpha-Linolenicacid"
13,"ko00360","Phenylalanine metabolism","1 in 46","0.155","C00601","Phenylacetaldehyde","C00601","Phenylacetaldehyde"
14,"ko00071","Fatty acid degradation","1 in 47","0.158","C02990","Palmitoyl-L-carnitine","C02990","Palmitoyl-L-carnitine"
15,"ko00053","Ascorbate and aldarate metabolism","1 in 50","0.167","C03033","Aldosterone18-glucuronide","C03033","Aldosterone18-glucuronide"
16,"ko00760","Nicotinate and nicotinamide metabolism","1 in 50","0.167","C00153","Niacinamide","C00153","Niacinamide"
17,"ko00970","Aminoacyl-tRNA biosynthesis","1 in 52","0.173","C00062","L-Arginine","C00062","L-Arginine"
18,"ko00040","Pentose and glucuronate interconversions","1 in 56","0.186","C03033","Aldosterone18-glucuronide","C03033","Aldosterone18-glucuronide"
19,"ko00240","Pyrimidine metabolism","1 in 61","0.2","C01103","Orotidine","C01103","Orotidine"
20,"ko00140","Steroid hormone biosynthesis","1 in 76","0.244","C05300","16b-Hydroxyestrone","C05300","16b-Hydroxyestrone"
21,"ko00520","Amino sugar and nucleotide sugar metabolism","1 in 104","0.319","C00140","N-Acetyl-D-glucosamine","C00140","N-Acetyl-D-glucosamine"
