	metab_id	M_M_1	M_M_2	M_M_3	M_M_4	M_M_5	M_M_6	M_M_7	M_M_8	M_M_9	M_M_10	M_F_1	M_F_2	M_F_3	M_F_4	M_F_5	M_F_6	M_F_7	M_F_8	M_F_9	FC	FDR	.	Metabolite	ID	KEGG.Compound.ID	Library.ID	group
159	metab_7313	3.18293503649139	5.59131038802856	5.92923224375361	3.18293503649139	3.18293503649139	3.23726925397093	5.56688799006542	5.37300403563613	5.40641033853328	4.70890755286168	3.00136482737482	3.00136482737482	3.00136482737482	3.00136482737482	3.00136482737482	3.00136482737482	3.00136482737482	3.00136482737482	3.08648558962897	210.191579474775	0.0252828697223719	1.60596107586209	4,5-Dihydro-drospirenone-3-sulfate	pos_7983	-	HMDB0061126	Source_M
73	metab_1775	4.69855837627866	6.01136313382906	6.29220297290693	4.69855837627866	4.69855837627866	4.69855837627866	6.32116913897	4.69855837627866	6.10185630961286	4.69855837627866	3.4678993215355	3.9084178867981	3.88404444604306	4.5193038745252	3.23975271756159	3.23975271756159	3.23975271756159	3.69080044520662	3.23975271756159	94.0396903786837	0.00230769636595248	1.91710693432195	Isovitexin 2''-(6'''-p-coumaroylglucoside)	pos_1826	-	-	Source_M
55	metab_16640	5.2057688278645	5.56744785747566	5.75199430565433	5.2057688278645	5.2057688278645	5.2057688278645	5.89452561550048	5.2057688278645	5.2057688278645	5.2057688278645	3.57869025588604	3.57869025588604	3.57869025588604	3.57869025588604	3.57869025588604	3.57869025588604	3.57869025588604	3.57869025588604	3.57869025588604	75.0219664313925	6.41780033199147e-06	2.30211793590297	Mammea B/BC cyclo E	neg_7640	-	HMDB0030649	Source_M
146	metab_6761	5.39238911013841	5.39238911013841	5.64578419178049	5.39238911013841	5.39238911013841	5.39238911013841	5.69255598619882	5.39238911013841	5.65297792933802	5.39238911013841	3.95669909325706	3.24948007519867	2.8421979840961	3.29328661304567	2.8421979840961	2.8421979840961	4.63014483225297	2.8421979840961	2.8421979840961	47.5347213401656	0.000903730055851785	2.19058447273957	Fisetin	pos_7406	C10041	LMPK12111566	Source_M
158	metab_7312	3.87101268668651	4.82621207492301	5.20913585352637	3.87101268668651	3.87101268668651	3.89745006933297	4.67874303891727	4.56645334602316	4.73648160106641	4.03767641920796	3.69550255703941	1.39104929710105	1.39104929710105	1.39104929710105	1.39104929710105	1.39104929710105	1.39104929710105	3.56894619176529	1.39104929710105	41.6934010383337	0.00227231013913636	2.02645733892142	Glandulone B	pos_7982	-	HMDB0038548	Source_M
162	metab_7422	3.26700676056903	4.47695025781943	4.73467893446546	4.13532441612021	3.26700676056903	3.26700676056903	4.55100954520988	3.26700676056903	4.73830897114385	3.26700676056903	3.53135414339857	3.01715147899739	3.25150271876631	0.776042851978392	0.776042851978392	0.776042851978392	0.776042851978392	1.65122972509112	1.8788464806607	27.9478944424939	0.00814792162904572	1.788200578643	Citreoviridin C	pos_8099	-	HMDB0030523	Source_M
9	metab_11232	5.12528299806454	5.42699056689563	6.39005919229953	5.93125991333729	5.79258301837688	5.66894453316322	5.46885511474642	5.4946385755037	5.17980611144638	5.16918042772037	4.47364926451334	4.58672253548241	4.61711083211205	4.3592006939054	4.54477911373226	4.11028775566583	4.29205295174416	4.29702290306123	4.13707702971029	21.9576434597397	0.000407998173369869	2.09925167896317	Taurocholic acid 3-sulfate	neg_1585	-	HMDB0002581;LMST05020031	Source_M
95	metab_2826	4.01249398413281	4.85984067642159	5.46665288456638	4.01249398413281	4.01249398413281	4.01249398413281	5.08451565964853	4.01754504448821	5.29309947601706	4.01249398413281	3.22949685618984	3.22949685618984	3.36543984306428	4.35712611833566	3.22949685618984	3.22949685618984	3.22949685618984	3.22949685618984	3.22949685618984	18.1498888953516	0.00553407452328394	1.76389137420166	Gly Val Thr Leu	pos_2978	-	-	Source_M
80	metab_18392	4.21126748210639	4.72273376646225	3.92192328565847	5.58892659537011	3.45153989858285	4.21088662255077	4.77800264553744	5.21574849970549	5.0301775459058	4.41709498577141	3.07063117572965	3.07063117572965	4.26122768771548	3.88140488773544	4.24818888048362	3.09955070854934	3.19575580338471	3.13822941621756	3.17703090892009	14.6852397459812	0.00992031269208232	1.65252850863833	Kaempferol 3-rhamnoside 4'-xyloside	neg_9541	-	-	Source_M
59	metab_16948	6.62943518398271	6.1417104039224	5.38296629966584	5.94838855101922	6.09639455025139	6.38222206931979	5.17314227064283	5.91330905712294	5.57381864649888	6.65062929029634	5.74066273196847	4.97490999236426	4.22835458734321	4.65786979620967	5.50436538998474	4.22835458734321	4.22835458734321	4.22835458734321	4.22835458734321	13.3663659799149	0.00399191004830002	1.84427733932723	Deoxycholic acid 3-glucuronide	neg_7995	C03033	HMDB0002596;LMST05010046	Source_M
