"HMDBID","KEGGID","Name","Diff"
"HMDB0030046","C08886","AsparagosideA",1
"HMDB0011486","-","LysoPE(0:0/20:3(8Z,11Z,14Z))",1
"HMDB0002815","-","LysoPC(18:1(9Z))",1
"HMDB0010382","C04230","LysoPC(16:0)",1
NA,"-","Chenodeoxycholicacid3-sulfate",1
"HMDB0010386","-","LysoPC(18:2(9Z,12Z))",1
"HMDB0033199","-","(4beta,5beta,6beta,14beta,15alpha,20S,22R)-5,6-Epoxy-4,14,15-trihydroxy-1-oxowitha-2,24-dienolide",1
"HMDB0002409","-","N-[(3a,5b,7b)-7-hydroxy-24-oxo-3-(sulfooxy)cholan-24-yl-Glycine",1
"HMDB0011195","-","2-Hydroxy-3-methoxyestrone",1
NA,"C03033","Aldosterone18-glucuronide",1
NA,"-","12-oxo-20-dihydroxy-leukotrieneB4",1
NA,"-","(1R,16Z,24E,26E,28Z)-1,13,18-trihydroxy-12-[1-(4-hydroxy-3-methoxycyclohexyl)propan-2-yl-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo[30.3.1.0,hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentone",1
"HMDB0028867","-","Hydroxyprolyl-Leucine",1
NA,"-","(1R,12S,16Z,24E,26E,28Z,32S)-1,18-dihydroxy-12-[1-(4-hydroxy-3-methoxycyclohexyl)propan-2-yl-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo[30.3.1.0,hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentone",1
NA,"C03033","Dehydroisoandrosterone3-glucuronide",1
"HMDB0041085","-","Sambutoxin",1
"HMDB0035167","-","CinncassiolC119-glucoside",1
"HMDB0000328","-","12-Ketodeoxycholicacid",1
NA,"-","[(16R)-5,7-dihydroxy-8,8,10,16-tetramethyl-3-[1-(2-methyl-1,3-thiazol-4-yl)prop-1-en-2-yl-12-methylidene-9-oxo-17-oxa-4-azabicyclo[14.1.0heptadec-4-en-11-yloxidanesulfonicacid",1
"HMDB0061127","-","4R-Hydroxysolifenacin",1
"HMDB0035200","-","YucalexinB5",1
"HMDB0010382","C04230","PC(16:0/0:0)",1
"HMDB0000788","C01103","Orotidine",1
NA,"-","(7R*,8R*)-3-Methoxy-3,4,7,9,9-pentahydroxy-8,4-oxyneolignan4-xyloside",1
"HMDB0006285","C16678","4-oxo-Retinoicacid",1
"HMDB0000953","-","Suberylglycine",1
"HMDB0002639","C11301","Sulfolithocholylglycine",1
"HMDB0030155","-","AustalideI",1
"HMDB0010383","C04230","LysoPC(16:1(9Z))",1
NA,"-","PC(18:1(9Z)/0:0)[U",1
NA,"-","Sorbitanstearate",1
NA,"-","6-hydroxy-6-(hydroxymethyl)-1,1,4a-trimethyl-5-{[(2-oxo-2H-chromen-7-yl)oxymethyl}-decahydronaphthalen-2-ylacetate",1
"HMDB0010386","C04100","1-Linoleoylglycerophosphocholine",1
"HMDB0032105","-","1,2-Anhydridoniveusin",1
"HMDB0010393","-","LysoPC(20:3(5Z,8Z,11Z))",1
"HMDB0031511","-","Diacetonealcohol",1
NA,"-","PE(18:1(9Z)/0:0)",1
"HMDB0000222","C02990","Palmitoyl-L-carnitine",1
NA,"-","6-(3-{8-[5,7-dihydroxy-2-(4-hydroxyphenyl)-4-oxo-3,4-dihydro-2H-1-benzopyran-3-yl-5,7-dihydroxy-4-oxo-3,4-dihydro-2H-1-benzopyran-2-yl}phenoxy)-3,4,5-trihydroxyoxane-2-carboxylicacid",1
"HMDB0061641","-","3-hydroxypentadecanoylcarnitine",1
"HMDB0011503","-","PE(16:0/0:0)",1
"HMDB0029353","-","Galactosyl4-hydroxyproline",1
NA,"-","19(R)-hydroxy-PGA2",1
NA,"-","PheTrp",1
"HMDB0000476","-","3-Oxo-4,6-choladienoicacid",1
NA,"C08690","Icacine",1
"HMDB0010384","C04230","1-Stearoylglycerophosphocholine",1
"HMDB0035607","-","SaponinH",1
"HMDB0030580","-","(R)-Shinanolone",1
NA,"C19976","Valinopine",1
NA,"-","3b,16a-Dihydroxyandrostenonesulfate",1
"HMDB0037719","-","2-Phenylethyloctanoate",1
"HMDB0001119","C19579","4-Hydroxy-4-(3-pyridyl)-butanoicacid",1
"HMDB0031864","C10454","Methyleugenol",1
NA,"-","6E,8E,12E,14E-Hexadecatetraen-10-ynoicacid",1
"HMDB0036470","C09633","Chamazulene",1
"HMDB0036466","-","Zerumboneoxide",1
"HMDB0000215","C00140","N-Acetyl-D-glucosamine",1
NA,"-","4-[5-ladderane-butanoicacid",1
"HMDB0001406","C00153","Niacinamide",1
"HMDB0059764","C14330","2,6-Dimethylnaphthalene",1
NA,"-","Taurocholicacid3-sulfate",1
"HMDB0059698","-","Cadalene",1
"HMDB0034099","-","(2E,4E)-2,7-Dimethyl-2,4-octadienedioicacid",1
"HMDB0000210","C00864","PantothenicAcid",1
"HMDB0000792","C08277","Sebacicacid",1
NA,"-","Farnesylacetone",1
"HMDB0000447","C15568","7a,12a-Dihydroxy-3-oxo-4-cholenoicacid",1
"HMDB0004362","-","4-hydroxyNonenal",1
NA,"-","BW245C",1
NA,"-","13-METHYL-4,4-BISNOR-8,11,13-PODOCARPATRIEN-3-ONE",1
NA,"-","3-Hydroxy-T2Toxin",1
"HMDB0038152","-","LucidoneC",1
NA,"-","5-hydroxy-3-(4-hydroxy-3-methoxyphenyl)-7-methoxy-8-methyl-3,4-dihydro-2H-1-benzopyran-4-one",1
NA,"-","(2-methoxy-4-{2-[(1R,16Z,24E,26E,28Z)-1,13,18-trihydroxy-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-2,3,10,14,20-pentaoxo-11,36-dioxa-4-azatricyclo[30.3.1.0,hexatriaconta-16,24,26,28-tetraen-12-ylpropyl}cyclohexyl)oxidanesulfonicacid",1
"HMDB0036686","-","2,2,6,7-Tetramethylbicyclo[4.3.0nona-1(9),4-diene-7,8-diol",1
"HMDB0033857","C08499","2,6-nonadienal",1
"HMDB0060672","C16660","2-Ethyl-5-methyl-3,3-diphenyl-1-pyrroline",1
"HMDB0059899","C14395","Alpha-Methylstyrene",1
"HMDB0245089","C02395","Cyclohex-2-enone",1
"HMDB0034295","C19621","Floionolicacid",1
"HMDB0029697","C02394","Cinnamylalcohol",1
NA,"-","(+/-)-3,4-Methylenedioxy-5,7-dimethylepicatechin",1
"HMDB0032014","-","2,5-Dimethylbenzaldehyde",1
NA,"-","7-Sulfocholicacid",1
"HMDB0029638","C06758","P-Tolualdehyde",1
"HMDB0031616","-","4-Phenyl-3-buten-2-ol",1
NA,"-","(1R)-Nepetalicacid",1
"HMDB0034293","-","Asperagenin",1
"HMDB0041700","-","6-Hydroxyenterolactone",1
"HMDB0035498","-","FevicordinB2-[rhamnosyl-(1-4)-glucosyl-(1-6)-glucoside",1
NA,"C03571","2-Amino-2-methylbutanoate",1
"HMDB0011668","C15658","6-(alpha-D-Glucosaminyl)-1D-myo-inositol",1
"HMDB0062660","C01046","N-Methylglutamicacid",1
"HMDB0011177","-","L-phenylalanyl-L-proline",1
"HMDB0012240","-","Isopentenyladenine-9-N-glucoside",1
NA,"-","3-[3,4-dihydroxy-2-(4-hydroxy-3,7-dimethylocta-2,6-dien-1-yl)phenylpropanoicacid",1
"HMDB0040901","-","13-Hydroxy-9-methoxy-10-oxo-11-octadecenoicacid",1
NA,"-","ThrPheLeuThrGln",1
NA,"-","ProHis",1
NA,"-","GluLeu",1
NA,"-","ValGlu",1
"HMDB0001388","C06427","Alpha-Linolenicacid",1
NA,"-","GluVal",1
"HMDB0028822","-","Glutamylisoleucine",1
NA,"-","GlyPhe",1
NA,"-","HYMECROMONEMETHYLETHER",1
NA,"-","ProArg",1
NA,"-","LysIleLeu",1
