"No.","ID","Name","Match status","Pvalue","Metabolite ID","Metabolites","Sig. Metabolite ID","Sig. Metabolites"
1,"ko00330","Arginine and proline metabolism","2 in 66","2.64e-02","C01035; C00062","4-Guanidinobutanoicacid; L-Arginine","C01035; C00062","4-Guanidinobutanoicacid; L-Arginine"
2,"ko00472","D-Arginine and D-ornithine metabolism","1 in 9","3.47e-02","C00062","L-Arginine","C00062","L-Arginine"
3,"ko00331","Clavulanic acid biosynthesis","1 in 10","3.85e-02","C00062","L-Arginine","C00062","L-Arginine"
4,"ko00592","alpha-Linolenic acid metabolism","1 in 16","0.061","C06427","Alpha-Linolenicacid","C06427","Alpha-Linolenicacid"
5,"ko00643","Styrene degradation","1 in 22","0.083","C00601","Phenylacetaldehyde","C00601","Phenylacetaldehyde"
6,"ko00220","Arginine biosynthesis","1 in 23","0.086","C00062","L-Arginine","C00062","L-Arginine"
7,"ko00261","Monobactam biosynthesis","1 in 23","0.086","C00062","L-Arginine","C00062","L-Arginine"
8,"ko00410","beta-Alanine metabolism","1 in 25","0.094","C00864","PantothenicAcid","C00864","PantothenicAcid"
9,"ko00770","Pantothenate and CoA biosynthesis","1 in 27","0.101","C00864","PantothenicAcid","C00864","PantothenicAcid"
10,"ko00480","Glutathione metabolism","1 in 32","0.118","C03740","5-L-Glutamyl-L-alanine","C03740","5-L-Glutamyl-L-alanine"
11,"ko01040","Biosynthesis of unsaturated fatty acids","1 in 36","0.132","C06427","Alpha-Linolenicacid","C06427","Alpha-Linolenicacid"
12,"ko00360","Phenylalanine metabolism","1 in 46","0.166","C00601","Phenylacetaldehyde","C00601","Phenylacetaldehyde"
13,"ko00071","Fatty acid degradation","1 in 47","0.169","C02990","Palmitoyl-L-carnitine","C02990","Palmitoyl-L-carnitine"
14,"ko00564","Glycerophospholipid metabolism","1 in 49","0.176","C04230","LysoPC(16:0)","C04230","LysoPC(16:0)"
15,"ko00053","Ascorbate and aldarate metabolism","1 in 50","0.179","C03033","Aldosterone18-glucuronide","C03033","Aldosterone18-glucuronide"
16,"ko00760","Nicotinate and nicotinamide metabolism","1 in 50","0.179","C00153","Niacinamide","C00153","Niacinamide"
17,"ko00970","Aminoacyl-tRNA biosynthesis","1 in 52","0.185","C00062","L-Arginine","C00062","L-Arginine"
18,"ko00040","Pentose and glucuronate interconversions","1 in 56","0.198","C03033","Aldosterone18-glucuronide","C03033","Aldosterone18-glucuronide"
19,"ko00790","Folate biosynthesis","1 in 56","0.198","C02953","7,8-dihydro-L-Biopterin","C02953","7,8-dihydro-L-Biopterin"
20,"ko00240","Pyrimidine metabolism","1 in 61","0.214","C01103","Orotidine","C01103","Orotidine"
21,"ko00140","Steroid hormone biosynthesis","1 in 76","0.26","C05300","16b-Hydroxyestrone","C05300","16b-Hydroxyestrone"
22,"ko00520","Amino sugar and nucleotide sugar metabolism","1 in 104","0.339","C00140","N-Acetyl-D-glucosamine","C00140","N-Acetyl-D-glucosamine"
