"HMDBID","KEGGID","Name","Diff","Origin","Link"
NA,NA,"AlaPheIleArg",1,"Unknown",""
"HMDB0039084",NA,"3-O-MethylniveusinA",1,"Food related","HMDB: HMDB0039084"
"HMDB0039947",NA,"Pisumionoside",1,"Food related","HMDB: HMDB0039947"
"HMDB0061154",NA,"Monicacid",1,"Drug related","HMDB: HMDB0061154"
"HMDB0034361",NA,"Olitorin",1,"Food related","HMDB: HMDB0034361"
"HMDB0033111",NA,"EpijasminosideA",1,"Food related","HMDB: HMDB0033111"
NA,NA,"GluSerMetTrp",1,"Unknown",""
NA,NA,"ThrValGlyTrp",1,"Unknown",""
"HMDB0038979",NA,"(3b,4b,5b)-4,5-Epoxy-p-menth-1-en-3-ol3-glucoside",1,"Food related","HMDB: HMDB0038979"
"HMDB0031954",NA,"3-Methyl-3-butenylapiosyl-(1-6)-glucoside",1,"Food related","HMDB: HMDB0031954"
"HMDB0036159",NA,"ToxinT2tetrol",1,"Food related","HMDB: HMDB0036159"
"HMDB0002353","C19868","Dicrocin",1,"Food related","HMDB: HMDB0002353"
NA,NA,"3-(1,2-dihydroxybutyl)-7-hydroxy-1H-isochromen-1-one",1,"Unknown",""
"HMDB0030274","C10577","(E)-Casimiroedine",1,"Food related","HMDB: HMDB0030274"
NA,NA,"6-{[10-butanoyl-3-hydroxy-6-(2-hydroxypropyl)-2,2-dimethyl-8-oxo-2H,3H,4H,8H-pyrano[3,2-gchromen-5-yloxy}-3,4,5-trihydroxyoxane-2-carboxylicacid",1,"Unknown",""
"HMDB0011492",NA,"LysoPE(0:0/22:2(13Z,16Z))",1,"Food related","HMDB: HMDB0011492"
NA,NA,"SerTyrLys",1,"Unknown",""
"HMDB0036832",NA,"SterebinD",1,"Food related","HMDB: HMDB0036832"
"HMDB0029333",NA,"AmphibineH",1,"Food related","HMDB: HMDB0029333"
NA,NA,"ThrAspIleSer",1,"Unknown",""
"HMDB0041044",NA,"5,7-Megastigmadien-9-olglucoside",1,"Food related","HMDB: HMDB0041044"
"HMDB0013863",NA,"AFN911",1,"Drug related","HMDB: HMDB0013863"
"HMDB0000424",NA,"2-Hydroxydecanedioicacid",1,"Unknown",""
"HMDB0038746",NA,"GibberellinA74",1,"Food related","HMDB: HMDB0038746"
"HMDB0035922","C08771","NigakihemiacetalB",1,"Food related","HMDB: HMDB0035922"
NA,NA,"6-({1-[(2R)-3-[2-amino-3-methyl-4-(2-methyl-1,3-thiazol-4-yl)but-3-en-1-yl-2-methyloxiran-2-yl-10-carboxy-9-hydroxy-4,6,8,8-tetramethyl-7-oxodecan-5-yl}oxy)-3,4,5-trihydroxyoxane-2-carboxylicacid",1,"Unknown",""
NA,NA,"ThrLeuTrpThr",1,"Unknown",""
NA,NA,"9-Oxo-nonanoicacid",1,"Unknown",""
"HMDB0038149",NA,"Nepetaside",1,"Food related","HMDB: HMDB0038149"
NA,NA,"GluGlnHis",1,"Unknown",""
"HMDB0004808",NA,"7C-aglycone",1,"Food related","HMDB: HMDB0004808"
"HMDB0012492",NA,"1-(1,2,3,4,5-Pentahydroxypent-1-yl)-1,2,3,4-tetrahydro-beta-carboline-3-carboxylate",1,"Unknown",""
"HMDB0038029","C17889","EriojaposideB",1,"Food related","HMDB: HMDB0038029"
"HMDB0000350",NA,"3-Hydroxysebacicacid",1,"Unknown",""
"HMDB0031269",NA,"2-Nonenal",1,"Food related","HMDB: HMDB0031269"
NA,NA,"AspLys",1,"Unknown",""
NA,NA,"ThrAsnThrGlu",1,"Unknown",""
"HMDB0034983",NA,"Cynaratriol",1,"Food related","HMDB: HMDB0034983"
"HMDB0000168","C00152","L-Asparagine",1,"Co-Metabolism","KEGG: C00152"
"HMDB0005774",NA,"Endomorphin-2",1,"Unknown",""
"HMDB0029448",NA,"DL-Ornithino-L-alanine",1,"Food related","HMDB: HMDB0029448"
"HMDB0032301",NA,"Trans-2-trans-4-Heptadien-1-ol",1,"Food related","HMDB: HMDB0032301"
NA,NA,"{[(2Z)-2-(phenylmethylidene)heptyloxy}sulfonicacid",1,"Unknown",""
NA,NA,"2-amino-4-({1-[(carboxymethyl)-C-hydroxycarbonimidoyl-2-{[1-(6,7-dimethoxy-2H-1,3-benzodioxol-5-yl)-1,3-dihydroxypropan-2-ylsulfanyl}ethyl}-C-hydroxycarbonimidoyl)butanoicacid",1,"Unknown",""
"HMDB0030766",NA,"11-Hydroxy-12-methoxydihydrokawain",1,"Food related","HMDB: HMDB0030766"
"HMDB0012987",NA,"Kinetensin4-8",1,"Unknown",""
NA,NA,"2,2-(3-methylcyclohexane-1,1-diyl)diaceticacid",1,"Unknown",""
"HMDB0001185","C00019","S-Adenosylmethionine",1,"Co-Metabolism","KEGG: C00019"
NA,NA,"LysGluThrGlu",1,"Unknown",""
"HMDB0041048",NA,"PhysagulinB",1,"Food related","HMDB: HMDB0041048"
"HMDB0029918",NA,"Arabinofuranobiose",1,"Food related","HMDB: HMDB0029918"
"HMDB0041094",NA,"GingerglycolipidB",1,"Food related","HMDB: HMDB0041094"
"HMDB0030369",NA,"3-Hydroxy-5Z-octenylacetate",1,"Food related","HMDB: HMDB0030369"
NA,NA,"ValAsnGlu",1,"Unknown",""
NA,NA,"13,14-dehydro-15-cyclohexylCarbaprostacyclin",1,"Unknown",""
NA,NA,"Kynurenicacid",1,"Unknown",""
"HMDB0038731",NA,"4,7-Megastigmadien-9-ol",1,"Food related","HMDB: HMDB0038731"
