	metab_id	Metabolite	group	Apc_F_1	Apc_F_2	Apc_F_3	Apc_F_4	Apc_F_5	Apc_F_6	Apc_F_7	Apc_F_8	Apc_F_9	Apc_M_1	Apc_M_2	Apc_M_3	Apc_M_4	Apc_M_5	Apc_M_6	Apc_M_7	Apc_M_8	WT_F_1	WT_F_10	WT_F_11	WT_F_2	WT_F_3	WT_F_4	WT_F_5	WT_F_6	WT_F_7	WT_F_8	WT_F_9	WT_M_1	WT_M_10	WT_M_2	WT_M_3	WT_M_4	WT_M_5	WT_M_6	WT_M_7	WT_M_8	WT_M_9
6	metab_10379	4-Guanidinobutanoic acid	Apc_F	5.08279102511323	4.58104655430734	4.3683177495959	4.70358016387007	5.42594701446075	5.56881001588996	5.09969833149991	5.03406619730778	5.2738563463764	5.00922576179022	4.30824766039841	4.29011150277192	4.4541601901399	4.48542638507411	4.38359182855186	4.42658357776583	4.36098957470505	4.21388605704969	4.21041323130007	5.36704346012219	5.45893666462734	4.24726907808074	4.69825498802379	5.43029147540047	5.06671223095673	5.99634901101704	4.38140164389885	4.58365995652244	4.75278476753548	5.27938197615551	5.09433001318166	5.10871092628751	5.28414691604381	5.23259609187481	4.40391580747714	4.72630413601501	4.70662367024788	4.4690471607288
16	metab_11618	N-Acetyl-D-glucosamine	Apc_M	6.26658226955941	6.52001560857915	6.51650970182497	6.50710224454338	6.32607499052868	6.24350517500701	6.56158974379158	6.53976636079554	6.53569278334595	6.44324558688181	6.75174272900128	6.48895960021502	6.72936453239609	6.67570740362962	6.70179856177357	6.63625644321585	6.77283119781238	6.658349890607	6.59066205578159	6.51108156025284	6.32209510064361	6.9428622982216	6.73237219262079	6.33749341244461	6.47077794031121	6.25782532224274	6.46485748157102	6.44398741381686	6.46715741559911	6.38599522880558	6.25420264529691	6.33920665282394	6.35336835134752	6.16604484845733	6.41885071470927	6.3821121774199	6.48926837125155	6.6115201960728
17	metab_11731	Mesobilirubinogen	Apc_F	7.23674175501923	7.32492278457649	7.04919871669195	7.34726079581903	7.04648810327726	6.93682590332497	7.27322264220799	6.98471379068329	7.00691518099656	6.91795101637872	6.86043526869054	6.93079447860281	6.98923348382031	6.92707301314239	7.03434058548048	7.1353650646561	6.51082883611467	7.12939426956431	7.4620292189497	7.0877329269539	7.17161387990146	7.12671884761542	6.54395789918128	6.54148939150014	7.12940522731826	6.90789185775178	6.73467035475109	7.10784920538728	6.94818210460124	6.43066638059052	7.19152699894986	7.10842005755933	7.31082242635087	7.02570352211327	6.32057839323592	6.48407032317048	6.23029955320365	6.53492614656077
19	metab_12	Pantothenic Acid	Apc_M	6.40647348443228	6.47272639166553	6.40169159111752	6.47087740188578	6.54533317363637	6.48357719353151	6.69470201253751	6.63897298383411	6.56418160712556	6.70619587466282	6.55584475598754	6.769398498083	6.73055945138029	6.67726453705882	6.73157988970012	6.83548817358211	6.68375089004173	6.18002452303902	6.61758074313086	6.49144955539278	6.43687939185791	6.56829028925227	6.30031144499003	6.39540930174107	6.25907697852338	6.36808113886431	6.36219793676881	6.45851675668681	6.09746676885921	6.79139494398511	6.22884774917862	6.26673162802919	6.5459562130857	6.39914332288403	6.66394173205913	6.63307945536018	6.61383993134052	6.82486417962088
24	metab_13234	L-Arginine	Apc_F	5.51558087621815	5.17327641157516	5.03040504640649	5.14019627102278	4.79388520642644	5.34761443542879	4.90404136954978	4.93573143046923	5.08332719684776	4.57815687693787	4.76653392544529	3.65357911610215	3.83701105877056	3.9752320011931	3.70009635446625	3.90799975555634	4.36363454862172	4.88140394980477	4.25680919599126	5.29016724692412	4.90483252219069	4.07111094931072	4.72587864113599	5.12600718129774	5.09148127463733	4.92742934024087	4.19314143212308	4.90582404904606	5.80822015582051	5.12064230897966	5.652094892378	5.78020094058739	5.50424420088172	5.39585865747476	4.1098836326253	4.58845175136231	4.74004095698707	4.13840973943857
29	metab_1393	Palmitoyl-L-carnitine	Apc_M	6.52791313022316	6.47729807258953	6.40304441736381	6.21398296703869	6.64237353888646	6.35875349979441	6.36787009985435	6.58636532622391	6.52064491985124	6.79655507079414	6.88425239229447	6.87953066480494	6.77210843685193	6.86453787954018	6.95017786495487	6.95771575517668	6.88999498486929	6.60495242316159	6.56214155462148	6.63009502473095	6.56260298885616	6.66794467762245	6.71012160629504	6.85897481576745	6.64977074417635	6.74051831720638	6.84024867708803	6.54453127548278	6.7330585501044	6.87011231378936	6.36341222218445	6.62078174238914	6.69168421729856	6.49798773547636	6.73705835684876	6.43949370227136	6.54366678958919	6.7656978995441
32	metab_1422	1-Stearoylglycerophosphocholine	Apc_M	7.08754167228308	6.93305830816272	6.81167004297472	6.81023839845584	6.98011401177597	6.91627558066289	6.98134666433701	7.12995792584105	6.98518130990615	7.22706897960785	7.21274578506986	7.16284503655136	7.49343923943669	7.29141424369575	7.21464773435468	7.28958091551889	7.24604253759477	6.94563371819671	7.14126165287703	7.00569099534309	6.96170067599392	7.02958934191057	7.04118663973174	7.04675052866167	6.97583903758937	7.07319790136954	6.96251690202259	6.89576757770928	7.06079133289457	7.11539579039426	6.8755316063238	6.93279163592203	6.93068250438474	7.04139028440723	6.89223762259681	7.0353763809973	7.28617812446048	7.2780050754822
38	metab_14794	16b-Hydroxyestrone	Apc_F	4.67834281108101	3.76503045267567	4.56868311983685	4.29981340905142	4.89361008550586	4.49825363499455	4.61881203782825	4.20434839399031	4.11030942603915	3.78968897707395	4.37695422874927	4.03080524519217	3.6571290271634	4.09459213131926	3.6571290271634	3.6571290271634	3.6571290271634	3.82471481619793	3.89693027681365	3.74919059811017	3.36211103734858	3.90008155321251	3.67942037750036	3.47321001463631	3.93006893699054	3.57797064672891	4.5625124209111	3.83321984656531	4.01084151615487	3.7176777595906	4.30373286045924	4.49009734424694	3.50708501132142	4.09229180307988	3.48924989870518	3.96624085223289	2.8824010143222	3.25964327297259
53	metab_16690	Aldosterone 18-glucuronide	Apc_M	5.74707711193823	5.61027320596751	5.26703854279197	5.31100285781374	5.48252698721177	4.91739533370268	4.15143561947603	5.97608804703233	5.55038804855785	6.3390848936011	6.3623147161952	6.49134604959421	6.4058812700974	6.28906853900723	6.41554334850454	6.03017333875396	5.86284224489671	5.95101262575773	6.00245447595928	5.60033854262247	5.7930621537495	5.63632453967321	4.99953463960634	5.49302509060855	5.75736888856243	4.9228837314965	5.35543906932487	5.74769671238244	5.84495248644236	5.35574193436883	5.80977947619772	5.29040924231961	5.32373395295016	6.01735904297123	4.91982544306147	6.06233814608903	5.85641950638413	6.06146688278278
59	metab_17501	LysoPC(16:0)	Apc_M	5.32681120677989	5.42509502837888	4.93587056172383	4.73916319049675	5.78165021264318	5.12560888953024	5.61775101676311	6.23511082158594	5.58441131437156	6.1986009910659	6.41115699133308	6.59656729693082	6.76666311721899	6.55102455109486	6.35019452791538	6.6072504073174	6.17872181784926	5.68349282890586	6.21191190607615	6.04573431299376	5.42032402579045	5.7137014805265	6.21259412684049	6.26222413695263	5.56514883720677	5.71027950548946	5.57015920304823	5.51915321422773	6.37322042055794	6.36954214191526	5.77016425496078	5.74385180213934	5.9406275639309	5.95628232164761	6.07554694514116	6.25108459827946	6.57996951407335	6.52835386834704
