	metab_id	Apc_F_1	Apc_F_2	Apc_F_3	Apc_F_4	Apc_F_5	Apc_F_6	Apc_F_7	Apc_F_8	Apc_F_9	Apc_M_1	Apc_M_2	Apc_M_3	Apc_M_4	Apc_M_5	Apc_M_6	Apc_M_7	Apc_M_8	FC	FDR	log2FC	.	Metabolite	ID	KEGG.Compound.ID	Library.ID	group
118	metab_17878	0.894924122212897	2.12424813179076	1.1902407421955	3.50585030510132	3.52599770901678	2.67370255723869	1.90933873329442	4.33740448083597	3.10399183794361	5.00830946737107	4.6231202184161	4.66976675320663	4.87871142476548	5.56479330813703	5.51471173152812	5.45969682801272	5.64335620592099	62.736544496895	0.000933482216531056	5.97123416320686	1.32773377967383	N-[(3a,5b,7b)-7-hydroxy-24-oxo-3-(sulfooxy)cholan-24-yl]-Glycine	neg_6886	-	HMDB0002409	Apc_M
149	metab_1988	3.51431568811636	4.85182377806949	4.14165549724672	4.22958019786317	3.51431568811636	3.51431568811636	4.68060089374123	4.96612718074497	4.01107188674739	4.64986024668138	5.32850323071973	5.2669591417724	5.62605977402455	5.35165112214538	4.5063691976051	5.62473077687259	5.49206424011543	7.94929270348775	0.00411706535841932	2.99082650082901	1.48987165860326	Glycerophosphocholine	pos_2048	C00670	HMDB0007930;HMDB0008227;HMDB0008159;HMDB0007929;HMDB0008194;HMDB0008721;HMDB0008490;HMDB0008063;HMDB0008259;HMDB0011227;HMDB0008720;HMDB0008128;HMDB0008491;HMDB0008458;HMDB0008127;HMDB0008326;HMDB0008095;HMDB0008358;HMDB0007895;HMDB0008524;HMDB0008161;HMDB0008521;HMDB0007963;HMDB0008294;HMDB0008555;HMDB0008195;HMDB0008687;HMDB0008621;HMDB0008225;HMDB0008390;HMDB0008455;HMDB0008292;HMDB0008619;HMDB0008489;HMDB0007931;HMDB0008820;HMDB0011224;HMDB0008359;HMDB0008523;HMDB0008457;HMDB0011225;HMDB0007997;HMDB0008261;HMDB0008258;HMDB0008785;HMDB0008162;HMDB0008062;HMDB0008819;HMDB0011221;HMDB0007994;HMDB0008587;HMDB0008094;HMDB0008422;HMDB0007995;HMDB0008060;HMDB0008096;HMDB0008786;HMDB0008293;HMDB0008360;28319-77-9;HMDB0008817;HMDB0008719;HMDB0008818;HMDB0008456;HMDB0008392;HMDB0008753;HMDB0008488;HMDB0007896;HMDB0008030;HMDB0008554;HMDB0008586;HMDB0008653;HMDB0008357;HMDB0008557;HMDB0008228;HMDB0008325;HMDB0008160;HMDB0008027;HMDB0008061;HMDB0008291;HMDB0000086;HMDB0008784;HMDB0008093;HMDB0008556;HMDB0008393;HMDB0008327;HMDB0008424;HMDB0008193;HMDB0008589;HMDB0008423;HMDB0008425;HMDB0011226;HMDB0007962;HMDB0008588;HMDB0008391;HMDB0008685;HMDB0008226;HMDB0008718;HMDB0007996;HMDB0011222;HMDB0008654;HMDB0008620;HMDB0011228;HMDB0008652;HMDB0008622;HMDB0011223;HMDB0011290;HMDB0008260;HMDB0007928;HMDB0008787	Apc_M
105	metab_17501	5.32681120677989	5.42509502837888	4.93587056172383	4.73916319049675	5.78165021264318	5.12560888953024	5.61775101676311	6.23511082158594	5.58441131437156	6.1986009910659	6.41115699133308	6.59656729693082	6.76666311721899	6.55102455109486	6.35019452791538	6.6072504073174	6.17872181784926	7.34619879214264	0.000845617471513736	2.87699793671181	1.55524885186791	LysoPC(16:0)	neg_6433	C04230	HMDB0010382;HMDB0240262;14863-27-5	Apc_M
96	metab_16690	5.74707711193823	5.61027320596751	5.26703854279197	5.31100285781374	5.48252698721177	4.91739533370268	4.15143561947603	5.97608804703233	5.55038804855785	6.3390848936011	6.3623147161952	6.49134604959421	6.4058812700974	6.28906853900723	6.41554334850454	6.03017333875396	5.86284224489671	6.06379742665851	0.00411706535841932	2.60022155818632	1.64897698323781	Aldosterone 18-glucuronide	neg_5443	C03033	HMDB0010345;LMST05010062	Apc_M
243	metab_7429	6.62767487739551	6.86749245110851	6.60052040007859	6.66149043983446	6.86735560207682	6.42211493129516	5.42753845336691	7.37235908706166	6.4889192730495	7.56601550343592	7.5440501107287	7.61211430095385	7.616172807586	7.5573079754435	7.56722968321223	7.27929832931891	7.23179625928646	5.18304756591666	0.00447891220662063	2.37380063369892	1.78318099799006	Dehydroisoandrosterone 3-glucuronide	pos_8187	C03033	HMDB0010327;LMST05010064	Apc_M
221	metab_6357	5.52608330840805	5.47556699532304	5.31408441208345	5.30514029398907	5.66410498036372	5.39427572602546	5.54618881725902	6.06685602532609	5.65646865381953	6.11722451645806	6.13019309759117	6.30316726597004	6.49691319521912	6.28224442437938	6.1934848592702	6.33990469350277	5.94576834560689	4.33726432675104	0.000231736642978917	2.11678536832726	1.69670939396622	PC(16:0/0:0)	pos_6898	C04230	LMGP01050018;HMDB0010382	Apc_M
139	metab_18987	4.33880722776421	3.92773645733757	4.42888634953188	4.5935734354399	4.5641892335053	3.9730992517591	4.30118785517694	4.64773192027297	4.53604497142445	4.97485312382893	5.17962004022963	5.16261593223779	4.74660390688165	4.88011256998641	4.9998910391058	5.20308904548344	5.0586927334259	4.18242116677261	0.000518124270504098	2.06433834758507	1.63224755020074	Orotidine	neg_8054	C01103	HMDB0000788	Apc_M
154	metab_21275	4.85558484294701	4.86583840708451	4.77526090436888	4.73989263560131	4.73479878791269	4.89128688067876	4.7108902708439	5.26777087238957	5.46386135928932	5.53848183501871	5.08930000184645	5.38389793532683	5.3784635645858	5.48730552494675	5.5993765539118	5.80774461305035	5.82453565115121	3.62665770376309	0.00210333891044934	1.85864058528961	1.35898193093704	Sulfolithocholylglycine	neg_980	C11301	HMDB0062801;HMDB0002639;HMDB0000698	Apc_M
233	metab_7271	5.5627603598128	5.76923186603016	5.57368176463773	5.55594519646828	5.76761747706193	5.60416742078374	5.71808424461988	6.07847817797221	5.634335667321	6.19879116331382	6.11429540942834	6.26132055542169	6.41312165588219	6.41253044567652	6.21500692187606	6.37897285376845	6.09808599229639	3.53549791931161	0.000116533283760265	1.82191341026392	1.77173221726056	LysoPC(16:1(9Z))	pos_7986	C04230	HMDB0010383	Apc_M
49	metab_1393	6.52791313022316	6.47729807258953	6.40304441736381	6.21398296703869	6.64237353888646	6.35875349979441	6.36787009985435	6.58636532622391	6.52064491985124	6.79655507079414	6.88425239229447	6.87953066480494	6.77210843685193	6.86453787954018	6.95017786495487	6.95771575517668	6.88999498486929	2.54665091914214	0.000146522381428969	1.34860121648786	1.89744339784064	Palmitoyl-L-carnitine	pos_1436	C02990	HMDB0000222	Apc_M
