	ID
1	HMDB0030046
2	HMDB0011486
3	HMDB0002815
4	HMDB0010382
5	HMDB0061700
6	HMDB0033199
7	HMDB0002409
8	HMDB0011195
9	HMDB0010345
10	HMDB0028867
11	HMDB0010327
12	HMDB0041085
13	HMDB0035167
14	HMDB0000328
15	HMDB0061127
16	HMDB0035200
17	HMDB0000788
18	HMDB0006285
19	HMDB0000953
20	HMDB0062801
21	HMDB0030155
22	HMDB0010383
23	HMDB0029888
24	HMDB0010386
25	HMDB0032105
26	HMDB0010393
27	HMDB0031511
28	HMDB0000222
29	HMDB0061641
30	HMDB0029353
31	HMDB0000476
32	HMDB0010384
33	HMDB0035607
34	HMDB0030580
35	HMDB0037719
36	HMDB0001119
37	HMDB0031864
38	HMDB0036470
39	HMDB0036466
40	HMDB0001406
41	HMDB0059764
42	HMDB0059698
43	HMDB0034099
44	HMDB0000447
45	HMDB0038152
46	HMDB0036686
47	HMDB0033857
48	HMDB0060672
49	HMDB0059899
50	HMDB0034295
51	HMDB0029698
52	HMDB0032014
53	HMDB0029638
54	HMDB0031616
55	HMDB0034293
56	HMDB0035498
57	HMDB0011668
58	HMDB0062660
59	HMDB0011177
60	HMDB0012240
61	HMDB0040901
62	HMDB0001388
63	HMDB0028822
64	HMDB0038352
65	HMDB0060127
66	HMDB0030915
67	HMDB0041610
68	HMDB0000712
69	HMDB0003797
70	HMDB0000313
71	HMDB0011643
72	HMDB0013317
73	HMDB0006248
74	HMDB0003464
75	HMDB0039171
76	HMDB0028879
77	HMDB0002285
78	HMDB0029059
79	HMDB0041023
80	HMDB0035165
81	HMDB0030394
82	HMDB0000038
83	HMDB0000559
84	HMDB0030409
85	HMDB0251473
86	HMDB0062762
87	HMDB0028923
88	HMDB0033503
89	HMDB0028876
90	HMDB0030772
91	HMDB0032685
92	HMDB0041517
93	HMDB0029081
94	HMDB0012212
95	HMDB0037235
96	HMDB0004157
97	HMDB0035243
98	HMDB0029062
99	HMDB0005768
100	HMDB0029128
101	HMDB0039331
102	HMDB0030328
103	HMDB0003252
104	HMDB0061701
105	HMDB0240262
106	HMDB0002586
107	HMDB0010386
108	HMDB0012551
109	HMDB0010382
110	HMDB0002639
111	HMDB0011503
112	HMDB0062641
113	HMDB0002581
114	HMDB0000210
115	HMDB0000792
116	HMDB0029697
117	HMDB0002421
118	HMDB0011556
119	HMDB0006236
120	HMDB0304377
121	HMDB0011648
122	HMDB0031842
123	HMDB0000874
124	HMDB0247294
125	HMDB0000517
126	HMDB0029099
127	HMDB0000698
128	HMDB0000254
129	HMDB0250782
130	HMDB0302431
131	HMDB0303361
132	HMDB0244808
133	HMDB0000672
134	HMDB0000803
135	HMDB0000148
136	HMDB0000215
137	HMDB0014291
