metab_id	Metabolite	ID	m/z	Retention time	Mode	Adducts	Formula	Fragmentation Score	Theoretical Fragmentation Score	Mass Error (ppm)	KEGG Compound ID	Library ID	CAS ID
metab_0	metab_0	pos_1	785.592076199	6.013383333330001	pos	-	-	-	-	-	-	-	-
metab_1	metab_1	pos_2	480.27777495099997	5.698033333330001	pos	-	-	-	-	-	-	-	-
metab_2	metab_2	pos_3	480.277533824	5.89005	pos	-	-	-	-	-	-	-	-
metab_3	metab_3	pos_4	526.196683167	2.52013333333	pos	-	-	-	-	-	-	-	-
metab_4	metab_4	pos_5	462.86164065300005	0.43396666666699996	pos	-	-	-	-	-	-	-	-
metab_5	metab_5	pos_6	244.079090314	0.543316666667	pos	-	-	-	-	-	-	-	-
metab_6	metab_6	pos_7	326.88663075700003	0.619316666667	pos	-	-	-	-	-	-	-	-
metab_7	metab_7	pos_8	259.092401832	0.563883333333	pos	-	-	-	-	-	-	-	-
metab_8	metab_8	pos_9	435.244492626	0.563883333333	pos	-	-	-	-	-	-	-	-
metab_9	metab_9	pos_10	137.045773083	1.0669833333299998	pos	-	-	-	-	-	-	-	-
metab_10	metab_10	pos_11	446.88760610699995	0.43396666666699996	pos	-	-	-	-	-	-	-	-
metab_11	metab_11	pos_12	368.871419595	0.619316666667	pos	-	-	-	-	-	-	-	-
metab_12	Pantothenic Acid	pos_13	220.11790408	1.96078333333	pos	M+H-2H2O, M+H, M+Na, M+K, M+ACN+Na	C9H17NO5	88.0	-	-0.095602138698456	C00864	79-83-4;HMDB0000210;HMDB0250782	79-83-4
metab_13	metab_13	pos_14	185.95973545099997	0.6605166666669999	pos	-	-	-	-	-	-	-	-
metab_14	Phenylacetylglycine	pos_15	194.081165445	3.01778333333	pos	M+H, M+2Na-H, M+K, M+Na, M+H-H2O	C10H11NO3	92.4	-	-0.0217718581656463	C05598	HMDB0000821	500-98-1
metab_15	metab_15	pos_16	784.4353042189999	3.59	pos	-	-	-	-	-	-	-	-
metab_16	metab_16	pos_17	194.081145264	3.77963333333	pos	-	-	-	-	-	-	-	-
metab_17	metab_17	pos_18	355.13619635099997	4.08663333333	pos	-	-	-	-	-	-	-	-
