"","observed_species","richness","chao1","ace","shannon","simpson","pielou","goods_covers","name","group"
"z1",788,788,885.041666666667,887.99028564957,4.64688998004201,0.969311593204915,0.696737583163628,0.996232641275952,"z1","X"
"z2",777,777,885.655172413793,877.945500796645,4.77298554305475,0.974114509479441,0.717155483602388,0.996205142307164,"z2","X"
"z3",833,833,992,959.252819752351,4.97073319214953,0.980808743802453,0.739138784523304,0.995627663962601,"z3","X"
"z4",813,813,944.134020618557,939.128943070019,4.59180235624837,0.965908691664816,0.685268858155724,0.995600164993813,"z4","X"
"z5",776,776,968.296296296296,926.508602258568,4.45254397750703,0.962576734666276,0.669137649610778,0.995132682524405,"z5","X"
"z6",763,763,871.78,875.808620817457,4.59500959757249,0.968227245307532,0.692305403212304,0.995930152619277,"z6","X"
"z7",801,801,869.785714285714,867.428265302282,5.07174976522162,0.984478400085571,0.758578409777652,0.997030111370824,"z7","X"
"z8",741,741,817.678571428571,814.928519441378,4.91996596837911,0.982798404787581,0.744546837593355,0.996865117558092,"z8","X"
"z9",746,746,901.820895522388,854.959867882368,4.72642838128081,0.975255794193982,0.714531284734656,0.996012649525643,"z9","X"
"z10",778,778,869.141304347826,870.939071486524,4.87386970832437,0.978802198533669,0.732172140559121,0.996425134057473,"z10","X"
"z11",797,797,896.395604395604,889.493702241752,5.06508282466494,0.984699628968093,0.758148929768688,0.996287639213529,"z11","X"
"z12",773,773,881.325581395349,870.664717064789,4.86684759037712,0.980045475573643,0.731826071480546,0.996232641275952,"z12","X"
"x1",832,832,965.363636363636,966.701531692478,5.01879427397615,0.980834321284105,0.74641870066637,0.995517668087447,"x1","Z"
"x2",800,800,920.6,889.306315433368,5.12505372057011,0.984875766045065,0.766694301683561,0.996287639213529,"x2","Z"
"x3",730,730,850.246575342466,817.232015352613,4.59342141327791,0.961533638624946,0.696707172155539,0.996342637151107,"x3","Z"
"x4",804,804,912.655172413793,903.981441226078,5.01333780158559,0.981905402526506,0.749422738172609,0.996205142307164,"x4","Z"
"x5",823,823,911.72380952381,922.007881692663,5.16367467860701,0.986444717384008,0.769210244226858,0.996232641275952,"x5","Z"
"x6",788,788,937.845360824742,930.650342309802,4.53980769152995,0.967879995301771,0.680682058884387,0.995297676337137,"x6","Z"
"x7",761,761,883.46,891.197448575548,4.53069075901439,0.967011756858375,0.682884873155162,0.995682661900179,"x7","Z"
"x8",784,784,882.315217391304,881.296348311016,4.98521791239906,0.981077364830498,0.748036006970193,0.996287639213529,"x8","Z"
"x9",790,790,917.88,891.23847132466,5.09424166467039,0.984010534226168,0.763521659187244,0.996177643338375,"x9","Z"
"x10",834,834,922.224489795918,923.090808784292,5.17822012992759,0.985367514000777,0.769854362786712,0.996370136119896,"x10","Z"
"x11",780,780,895.833333333333,886.129529028843,5.02630427339033,0.982566563488504,0.75478036170374,0.996150144369586,"x11","Z"
"x12",806,806,911.395604395604,905.33849312239,5.01607222915414,0.983552951083047,0.749553117109573,0.996177643338375,"x12","Z"
"c1",701,701,819.309278350515,815.862960217592,4.08968517140515,0.95039915227708,0.624140442394185,0.995820156744122,"c1","C"
"c2",859,859,978.435897435897,947.350909294121,5.11072331004642,0.984590765870479,0.756497649500028,0.996232641275952,"c2","C"
"c3",801,801,900.106382978723,890.663208457417,4.81073863323524,0.978472040008523,0.719539139584509,0.996232641275952,"c3","C"
"c4",745,745,954.011764705882,910.589155514946,4.28361213312455,0.955345228039443,0.647718625090581,0.994802694898941,"c4","C"
"c5",790,790,926.774193548387,912.856459863281,4.78966712345043,0.980098297186948,0.717872223144342,0.995600164993813,"c5","C"
"c6",799,799,890.879518072289,875.595946187753,4.97598982354139,0.980030436401602,0.744534054635122,0.996590127870205,"c6","C"
"c7",781,781,905.285714285714,889.949708006298,4.97092402624447,0.982452626333951,0.746320537553594,0.996012649525643,"c7","C"
"c8",783,783,885.373626373626,884.581498473132,4.87008666745446,0.978818621539421,0.730900447230292,0.996232641275952,"c8","C"
"c9",752,752,895.928571428571,878.253641472849,4.68921247312894,0.975129363213983,0.708047586942471,0.995710160868967,"c9","C"
"c10",756,756,921.486486486486,879.851418939682,4.64661201315202,0.96582247655607,0.701053561592334,0.995682661900179,"c10","C"
"c11",679,679,818.951219512195,812.217389513236,4.2524288881419,0.946213375928693,0.652150892523025,0.995820156744122,"c11","C"
"c12",758,758,897.159090909091,882.421974001321,4.67079392564822,0.975362750172133,0.704421196729441,0.995682661900179,"c12","C"
