"","z1","z2","z3","z4","z5","z6","z7","z8","z9","z10","z11","z12","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12"
"OTU799",0,0,0,0,2,2,5,0,4,2,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,4,2,0,0,1,2,0,3,1,0,0
"OTU768",3,3,8,4,1,3,9,8,2,3,4,2,1,2,4,0,2,3,0,12,6,1,2,3,0,0,0,0,0,0,0,0,0,1,0,0
"OTU711",3,23,1,0,0,0,0,0,0,0,11,0,6,1,0,7,1,0,0,0,7,33,36,0,0,1,1,0,0,0,0,0,0,0,0,0
"OTU943",4,1,14,13,7,2,0,0,1,0,0,0,0,0,0,0,2,3,3,0,0,0,0,7,0,0,0,1,1,0,0,1,0,0,0,0
"OTU1091",0,0,3,1,0,2,7,2,0,0,0,0,1,0,1,1,2,0,0,1,2,1,0,2,0,0,0,0,0,6,0,0,0,1,1,4
"OTU434",8,6,10,10,11,8,13,21,20,19,18,16,11,15,12,8,15,8,9,15,18,4,8,14,8,10,7,13,10,29,6,10,15,8,10,24
"OTU788",0,0,3,0,1,1,1,2,1,2,2,2,2,3,3,4,3,1,0,6,1,1,3,6,2,2,1,2,1,5,2,8,3,6,0,2
"OTU1151",0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"OTU501",2,0,1,4,2,3,26,16,5,25,5,6,14,25,15,7,2,5,4,14,11,3,0,7,2,7,4,2,7,28,3,11,5,8,10,18
"OTU500",3,3,6,4,8,4,10,4,4,17,15,6,13,13,3,12,9,3,4,7,10,4,3,9,3,29,9,1,3,6,12,12,8,8,1,3
"OTU503",8,26,6,2,0,2,0,2,1,1,23,3,4,2,0,13,0,0,2,2,2,12,21,1,0,0,0,0,0,1,0,1,1,0,0,0
"OTU502",20,55,26,3,1,5,6,5,3,6,13,4,1,0,0,1,1,0,1,0,0,1,6,0,0,3,2,0,0,0,7,8,1,4,0,0
"OTU505",0,0,0,0,0,0,1,0,0,0,2,0,10,6,4,7,8,4,5,2,18,14,17,3,0,0,0,0,0,0,0,0,0,1,0,0
"OTU504",1,7,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,1,1,1,24,14,4,8,7,2
"OTU507",3,9,10,6,5,9,14,12,7,4,20,7,5,3,4,1,7,4,2,3,11,9,5,4,1,6,4,2,6,13,8,8,4,4,0,3
"OTU506",0,0,9,4,5,2,9,11,5,5,5,6,4,10,0,5,14,4,3,14,8,7,2,5,6,9,2,1,9,8,0,6,0,1,0,6
"OTU509",2,2,2,39,41,6,1,0,0,4,2,2,2,2,0,0,13,8,5,0,4,0,0,1,2,7,12,9,0,0,27,7,5,1,0,0
"OTU508",2,5,8,8,13,5,11,8,11,16,18,24,4,12,7,6,8,2,5,7,2,3,7,3,4,18,5,2,10,2,6,16,4,9,2,4
"OTU804",1,0,1,1,1,3,1,2,2,0,2,2,2,5,2,0,5,7,1,0,1,0,1,2,0,0,0,0,0,0,0,1,0,1,0,1
"OTU712",1,1,1,1,0,1,11,2,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0
"OTU1090",2,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1156",0,4,1,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,2,8,0,0,2,6,0,0,0,1,1,1,0,0,0
"OTU1106",1,3,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU480",1,1,1,0,14,18,1,4,4,6,1,4,11,16,11,9,7,9,26,22,5,9,13,15,3,5,3,2,6,2,1,2,1,9,3,1
"OTU481",1,0,3,2,4,3,8,2,2,8,6,2,4,17,4,4,3,2,3,2,3,3,1,2,1,4,0,1,2,3,0,3,1,0,0,3
"OTU482",4,6,4,5,2,2,1,1,1,1,3,4,0,1,1,1,0,1,0,1,0,2,0,0,5,3,23,9,3,2,10,10,9,4,14,8
